module,legacy_route,mapped_current_route,replicated
"Reports","/reports/clients/client-branch-increase-decrease-report","","NO"
"Reports","/reports/dailyUserReport","","NO"
"Reports","/reports/dailydeploymentreport","","NO"
"Reports","/reports/dayNightDutyGuards","","NO"
"Reports","/reports/finalized-paid-loan","","NO"
"Reports","/reports/guardDeploymentreports","","NO"
"Reports","/reports/guardEnrolledreports","","NO"
"Reports","/reports/guards","","NO"
"Reports","/reports/managers-supervisors-guards","","NO"
"Reports","/reports/scheduledreports","","NO"
"Reports","/reports/shortdeployment","","NO"
"Reports","/reports/unassignguards","","NO"
"Payroll","/salary-v2","/payroll/operations/salary-v2","YES"
"Payroll","/searchByDataTable","","NO"
"Ticketing","/ticket","/tickets","YES"
"Users & Access","/user/allUserTypes","/settings/user-types","YES"
"Users & Access","/user/assignClientsBranchToSupervisorForm","/users/cs-relationship","YES"
"Users & Access","/user/assignManagerToSupervisorForm","/users/ms-relationship","YES"
"Users & Access","/user/create","/users/new","YES"
"Users & Access","/user/guardVerificationStatusesList","","NO"
"Users & Access","/user/guardVerificationTypesList","","NO"
"Users & Access","/user/onlineUsers","/dashboard/online-users","YES"
"Users & Access","/user/profile","","NO"
"Users & Access","/user/searchForm","/users/search","YES"
"Users & Access","/user/switchManagerForm","/users/switch-supervisor","YES"
"Users & Access","/user/updateLogos","","NO"
